date,number_of_rows,outside_min,outside_mean,outside_max
2021-04-18,308,5.9,8.8,13.4
2021-04-19,1389,2.9,12.0,23.1
2021-04-20,1397,2.9,12.2,24.8
2021-04-21,1396,3.2,10.2,20.4
2021-04-22,1396,-0.1,11.0,27.1
2021-04-23,1241,0.6,10.5,26.4
2021-04-24,841,2.1,11.4,27.5
2021-04-25,1104,4.6,12.9,24.3
2021-04-26,1382,3.6,11.8,26.9
2021-04-27,231,3.9,10.8,17.1
2021-04-28,240,5.5,8.7,15.2
2021-04-29,285,2.2,7.7,19.1
2021-04-30,283,2.2,9.3,23.8
2021-05-01,285,2.4,8.8,20.4
2021-05-02,286,4.0,9.7,18.8
2021-05-03,285,5.4,8.5,11.8
2021-05-04,255,6.2,8.5,25.0
2021-05-05,285,2.2,7.5,23.4
2021-05-06,286,4.2,8.8,16.9
2021-05-07,285,4.6,9.8,23.6
2021-05-08,285,6.4,10.6,13.1
2021-05-09,285,11.2,14.5,20.4
2021-05-10,287,10.4,13.3,27.4
2021-05-11,285,9.2,12.9,19.9
2021-05-12,286,9.6,13.4,19.9
2021-05-13,285,10.4,11.9,13.7
2021-05-14,282,9.4,10.9,14.5
2021-05-15,286,9.2,11.1,15.1
2021-05-16,285,8.4,11.8,21.3
2021-05-17,679,10.6,12.2,19.2
2021-05-18,1397,1.5,11.4,20.9
2021-05-19,1396,9.1,11.9,19.6
2021-05-20,1396,9.4,11.1,14.9
2021-05-21,1388,9.4,10.4,25.0
2021-05-22,1396,9.1,10.7,14.9
2021-05-23,1396,7.3,10.1,12.9
2021-05-24,1397,8.6,10.4,16.7
2021-05-25,1396,8.1,10.8,15.0
2021-05-26,1393,8.6,11.1,16.4
2021-05-27,1396,9.1,13.0,19.1
2021-05-28,900,11.8,14.3,21.2
2021-05-29,1396,10.9,18.3,28.2
2021-05-30,1396,8.1,15.2,26.1
2021-05-31,1397,8.4,16.8,29.5
2021-06-01,729,9.9,15.9,31.6
2021-06-03,366,14.5,17.2,20.1
2021-06-04,1396,12.2,14.4,16.1
2021-06-05,1397,10.2,17.4,27.1
2021-06-06,1396,12.5,18.1,25.6
2021-06-07,1249,15.5,18.9,27.5
2021-06-08,1396,12.4,19.2,28.6
2021-06-09,1397,11.9,19.3,30.2
2021-06-10,1396,15.4,19.3,27.6
2021-06-11,791,16.7,19.1,27.1
2021-06-12,735,14.9,21.7,27.3
2021-06-13,1367,12.6,21.1,31.9
2021-06-14,1396,15.4,21.2,32.2
2021-06-15,1396,13.4,20.0,29.3
2021-06-16,1396,15.4,21.7,32.3
2021-06-17,1397,15.6,19.0,24.9
